Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:25 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM    9    0.00    0.00    0.00    0.00    0.00    0.33    0.00    0.00   99.67
01:53:25 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   13    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00
01:53:25 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   17    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:25 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   25    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:25 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:25 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:53:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
